Line,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023
Line,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1,"            Personal consumption expenditures",104.458,104.551,104.238,103.796,103.890,104.199,104.541,104.869,105.048,105.124,105.197,105.707,106.145,106.522,107.066,107.662,108.207,108.755,109.280,109.740,110.096,110.808,111.494,112.240,112.829,113.496,114.446,114.789,115.446,116.495,116.511,116.890,117.314,117.842,118.104,118.348,119.011,119.386,119.530,119.893,120.020,120.221,120.471,120.917,121.348
2,Goods,100.569,100.452,99.512,98.670,98.478,98.956,99.354,99.913,99.816,99.767,99.831,100.429,100.992,101.298,101.810,102.687,103.469,104.245,104.739,105.516,105.927,107.165,108.048,108.972,109.914,111.014,112.521,112.592,113.552,115.239,114.713,114.586,114.539,114.988,114.748,114.176,114.792,114.994,114.730,115.038,114.882,114.794,114.489,115.378,115.567
3,"    Durable goods",96.535,96.874,96.555,95.946,96.066,95.745,96.345,97.303,97.270,97.416,97.543,97.788,97.780,97.727,98.021,99.602,101.362,102.611,102.948,103.886,103.832,105.093,105.734,106.749,108.040,108.209,107.917,107.951,108.371,108.976,108.676,109.299,109.688,109.252,108.655,108.421,108.691,108.507,108.400,108.514,108.772,108.390,107.615,107.259,107.147
4,"        Motor vehicles and parts",100.952,101.140,101.182,100.910,101.337,100.396,101.187,102.956,104.903,105.306,104.971,105.105,104.761,104.357,104.547,107.972,111.537,116.035,117.046,117.537,118.210,120.547,122.842,125.510,126.904,127.089,125.611,125.802,127.392,127.996,128.069,128.765,128.965,128.683,128.394,127.840,127.338,126.117,126.115,127.954,129.610,129.378,128.543,128.274,127.199
5,"            New motor vehicles (55)",100.003,100.365,100.073,100.088,100.240,100.121,100.558,100.553,100.734,101.092,101.084,101.583,101.254,101.277,101.279,101.761,103.226,105.025,106.569,107.885,109.299,110.819,112.074,113.280,114.373,114.555,114.751,115.317,116.030,116.741,117.361,118.394,119.190,119.906,120.482,121.200,121.507,121.714,122.151,121.911,121.749,121.749,121.614,122.009,122.339
6,"                New autos",100.163,100.660,100.486,100.456,100.502,100.643,101.219,101.284,101.498,101.576,101.409,101.815,101.514,101.587,101.399,101.695,103.197,104.861,106.384,107.901,109.201,110.564,112.208,113.917,114.119,114.404,114.740,115.876,116.654,116.989,117.854,118.760,119.624,120.132,120.547,121.241,121.604,121.841,122.516,122.209,121.696,121.443,121.291,121.582,121.697
7,"                    New domestic autos",100.064,100.542,100.357,100.322,100.373,100.528,101.128,101.221,101.467,101.580,101.460,101.923,101.689,101.822,101.685,102.024,103.574,105.286,106.855,108.372,109.622,110.883,112.454,114.117,114.303,114.561,114.860,115.949,116.679,116.967,117.786,118.663,119.518,120.036,120.455,121.146,121.501,121.732,122.404,122.097,121.584,121.332,121.180,121.472,121.586
8,"                    New foreign autos",100.095,100.573,100.387,100.353,100.404,100.559,101.158,101.252,101.498,101.611,101.491,101.954,101.720,101.853,101.716,102.055,103.605,105.317,106.888,108.405,109.655,110.916,112.488,114.152,114.338,114.596,114.895,115.984,116.714,117.003,117.821,118.699,119.554,120.072,120.492,121.183,121.538,121.769,122.441,122.134,121.621,121.369,121.217,121.508,121.623
9,"                New light trucks",99.952,100.284,99.968,99.993,100.165,99.998,100.410,100.392,100.568,100.978,100.999,101.514,101.180,101.195,101.229,101.743,103.202,105.027,106.574,107.852,109.286,110.831,112.020,113.141,114.384,114.548,114.720,115.189,115.890,116.666,117.244,118.298,119.082,119.834,120.438,121.159,121.456,121.658,122.058,121.828,121.723,121.764,121.632,122.043,122.407
10,"                    New domestic light trucks",99.843,100.152,99.824,99.849,100.028,99.875,100.306,100.314,100.521,100.969,101.037,101.610,101.344,101.434,101.549,102.153,103.675,105.529,107.069,108.325,109.725,111.221,112.359,113.428,114.619,114.733,114.860,115.287,115.949,116.686,117.226,118.253,119.020,119.767,120.366,121.082,121.376,121.576,121.974,121.741,121.634,121.674,121.544,121.956,122.321
