Table 2.4.5U. Personal Consumption Expenditures by Type of Product
Table 2.4.5U. Personal Consumption Expenditures by Type of Product
"Last Revised on: October 27, 2023 - Next Release Date November 30, 2023"
Line,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023
Line,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1,"            Personal consumption expenditures",14815670,14810704,13792992,12228263,13251440,14027128,14285084,14428412,14655029,14702480,14675786,14801788,15047313,14948163,15657580,15854086,15890045,16108458,16150835,16305601,16398903,16613830,16741563,16799194,16888631,16999668,17203604,17310516,17384849,17549982,17556376,17692235,17803957,17915080,17892469,17943569,18229603,18296546,18282557,18363835,18407774,18485412,18634851,18714673,18853391
2,Goods,4597548,4602402,4478494,3908889,4487150,4779516,4885824,4900067,4984104,4962323,4944257,5026931,5161559,5048463,5514366,5565219,5485793,5558118,5456745,5529815,5561091,5697825,5749078,5751466,5835584,5851574,5950608,5984267,5992797,6066268,6025045,6044702,6070691,6114293,6033616,5995027,6148189,6164152,6089175,6139146,6144727,6150098,6186849,6230374,6272881
3,"    Durable goods",1544043,1551195,1344119,1178718,1539781,1684293,1745059,1764724,1788102,1791900,1787134,1827681,1879979,1818637,2074326,2100750,2040349,2034109,1962572,1972673,1982926,2063909,2078921,2067714,2134161,2111566,2116419,2142757,2110019,2115953,2126694,2146283,2156406,2172139,2111460,2103436,2213720,2203585,2167272,2183739,2202801,2194218,2206924,2199252,2221540
4,"        Motor vehicles and parts",529402,537238,412757,363051,533238,556757,587481,594567,610712,605126,604677,629085,637149,627403,750029,779870,744174,711400,684027,663558,665299,708603,715792,721948,754655,730579,720588,736289,721065,720469,717918,731558,734976,752025,732362,717170,781089,781814,765802,775613,778023,764322,768549,762361,777176
5,"            New motor vehicles (55)",283486,284437,208540,195626,278036,277935,307637,314812,337511,334782,332941,358025,346867,344383,386940,407338,386190,357326,344569,311296,303750,329611,344378,351265,394166,381799,362486,371691,356962,364290,366276,369813,379191,396076,381254,372722,413674,411190,394833,398961,400377,397283,399647,388489,399237
6,"                New autos",48338,50931,37870,28832,42856,43148,50830,50297,52527,52073,51173,51949,51239,46759,54975,58014,61539,55008,55996,50440,47462,45174,49200,51472,56510,55448,53609,53886,53412,53582,52323,55055,58017,57836,57092,53486,55191,54535,54167,56095,57450,55654,55056,51167,55606
7,"                    New domestic autos",34979,37047,28824,21738,31080,31576,38497,38263,39782,38937,38859,38715,35568,31195,38013,40119,43924,38163,39017,34599,32533,33734,37759,38515,38897,38001,37166,35047,35421,37210,35177,37565,39706,39295,38364,35634,35413,35664,34988,35344,38408,37605,36686,33304,35033
8,"                    New foreign autos",13359,13884,9046,7094,11777,11571,12333,12035,12745,13136,12315,13233,15671,15564,16962,17895,17615,16845,16979,15841,14929,11440,11440,12957,17613,17447,16443,18839,17991,16372,17146,17489,18311,18540,18728,17852,19778,18871,19179,20751,19041,18049,18370,17863,20573
9,"                New light trucks",235148,233505,170670,166794,235179,234787,256807,264514,284984,282709,281767,306076,295628,297625,331965,349324,324651,302318,288573,260856,256288,284437,295179,299793,337656,326351,308877,317805,303550,310707,313953,314759,321174,338240,324162,319236,358483,356656,340666,342866,342928,341629,344591,337323,343630
10,"                    New domestic light trucks",189272,187532,140844,134895,184234,178948,203314,215745,230426,227542,223527,244168,236097,237659,263689,273639,254538,237693,227544,207589,202463,232037,246080,247741,277159,265073,253992,262259,255607,257018,262789,260053,264040,278448,268628,263895,295312,296302,282553,282580,282956,278775,278490,273782,273562
11,"                    New foreign light trucks",45876,45973,29826,31899,50945,55839,53493,48769,54558,55167,58240,61908,59531,59965,68277,75686,70113,64626,61029,53268,53824,52400,49098,52052,60497,61278,54886,55546,47943,53689,51164,54705,57134,59792,55534,55341,63170,60354,58113,60287,59972,62854,66101,63541,70069
12,"            Net purchases of used motor vehicles (56)",159601,166750,129304,96723,166270,183690,186116,185194,178205,177650,179512,177823,194164,188526,254927,264224,251811,248105,234909,247505,256998,272425,263949,261811,249223,237465,246166,251568,250306,242282,238444,246770,239315,239972,235590,228817,249721,252474,255000,257634,256757,244599,246084,251399,254777
