"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars"
"Table 2.4.6U. Real Personal Consumption Expenditures by Type of Product, Chained Dollars"
"Last Revised on: October 27, 2023 - Next Release Date November 30, 2023"
Line,,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023
Line,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1,"            Personal consumption expenditures",14184787,14167779,13234319,11783329,12758029,13464789,13667311,13761086,13953358,13988566,13953924,14006301,14180672,14037776,14629278,14730722,14689613,14816415,14784012,14863034,14899445,14997333,15019209,14970372,14971117,14980601,15033965,15081680,15059994,15065834,15069134,15136340,15176722,15202709,15149792,15161673,15317560,15325540,15295449,15316928,15337409,15376322,15468454,15477393,15536789
2,Goods,4571992,4582307,4501150,3962230,4557433,4830996,4918480,4905146,4994077,4974728,4953556,5006574,5112305,4985215,5417681,5420438,5302473,5332354,5210651,5241617,5250706,5317449,5321225,5278195,5309482,5271165,5288468,5314879,5277363,5263796,5252045,5275081,5299928,5317128,5257948,5250492,5355699,5360177,5307152,5336337,5348436,5357219,5403637,5399742,5427675
3,"    Durable goods",1600071,1602058,1392837,1229156,1603615,1760000,1812289,1814707,1839290,1840240,1832813,1869561,1923129,1861115,2115907,2108168,2011654,1981105,1905527,1898240,1909132,1963134,1965419,1936327,1974903,1951089,1960962,1984770,1946909,1941631,1956968,1963821,1966174,1988469,1943571,1940357,2036981,2031060,1999546,2012633,2025381,2024601,2050979,2050620,2073571
4,"        Motor vehicles and parts",525210,532149,408745,360499,527252,555641,581686,578460,582922,575086,576189,598362,607692,600150,715191,718862,663499,609776,581937,562579,561001,585825,580798,573623,593516,574103,573160,584895,565805,562850,560742,568472,570358,584946,570974,561561,613989,620489,607784,606714,600817,591293,598424,594854,611534
5,"            New motor vehicles (55)",283778,283766,208679,195727,277740,277933,306234,313307,335188,331177,329228,352095,342004,339236,380860,398718,372457,338638,321839,287276,276794,296406,306378,309325,343940,332758,315510,322052,307500,312009,312159,312495,318319,330518,316635,307727,340685,338070,323463,327495,329100,326561,328865,318646,326575
6,"                New autos",48304,50653,37733,28738,42694,42918,50260,49687,51763,51259,50432,50964,50382,45916,54056,56854,59407,52238,52395,46535,43288,40733,43743,45096,49429,48390,46664,46464,45767,45800,44413,46386,48532,48172,47387,44141,45415,44790,44243,45933,47241,45859,45424,42113,45724
7,"                    New domestic autos",34957,36847,28722,21669,30964,31411,38068,37801,39207,38332,38300,37985,34977,30636,37383,39323,42408,36247,36514,31926,29677,30423,33578,33751,34030,33171,32358,30226,30358,31813,29865,31657,33221,32736,31850,29414,29146,29297,28584,28947,31590,30993,30274,27417,28813
8,"                    New foreign autos",13346,13805,9011,7069,11729,11507,12192,11886,12557,12928,12134,12980,15406,15281,16676,17534,17002,15995,15885,14613,13615,10314,10170,11351,15404,15224,14311,16243,15414,13993,14553,14734,15316,15441,15543,14731,16273,15497,15664,16990,15656,14872,15155,14701,16916
9,"                New light trucks",235515,233149,170969,167044,235112,235078,256020,263681,283502,279993,278871,301221,291703,293412,326896,341955,313138,286473,269515,240805,233571,255740,262710,264303,294592,284446,268921,275669,261802,266283,267826,266182,269857,282425,269323,263662,295360,293371,279303,281645,281943,280784,283522,276604,280936
10,"                    New domestic light trucks",189570,187248,141093,135099,184183,179172,202694,215069,229231,225360,221233,240299,232967,234300,259668,267872,245517,225239,212521,191635,184520,208628,219013,218412,241809,231034,221132,227483,220447,220264,224173,219912,221844,232492,223176,217947,243304,243718,231650,232115,232628,229116,229127,224493,223643
11,"                    New foreign light trucks",45945,45900,29877,31945,50927,55905,53326,48613,54271,54634,57638,60922,58737,59113,67230,74085,67623,61235,56996,49170,49050,47110,43694,45886,52777,53405,47781,48177,41345,46008,43642,46258,48000,49920,46134,45702,52042,49639,47640,49517,49301,51654,54381,52098,57279
12,"            Net purchases of used motor vehicles (56)",159081,166194,128107,96429,164958,186968,185764,174491,158999,156597,159823,159361,175435,171904,231205,218717,193531,174690,166115,177276,184981,190157,178477,170401,159866,153215,164834,169606,165622,159454,158170,164004,160854,164119,164405,162961,181424,188681,192214,185834,177272,169630,172989,178961,186105
